26/10/2018 - 17:46:06 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=5.4583, paramA=27.5858, paramVg=0.0, paramVt=1.9829, paramVi=1.9794, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:06 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 8
26/10/2018 - 17:46:06 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=5.4917, paramA=27.5858, paramVg=0.0, paramVt=1.9735, paramVi=1.9702, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:07 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 8
26/10/2018 - 17:46:07 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=5.6417, paramA=27.5858, paramVg=0.0, paramVt=1.9659, paramVi=1.9629, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:08 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 9
26/10/2018 - 17:46:08 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=5.7667, paramA=27.5858, paramVg=0.0, paramVt=1.9266, paramVi=1.9223, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:08 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 9
26/10/2018 - 17:46:08 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=5.875, paramA=27.5858, paramVg=0.0, paramVt=1.8962, paramVi=1.892, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:09 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=5.9833, paramA=27.5858, paramVg=0.0, paramVt=1.87, paramVi=1.8659, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:09 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 10
26/10/2018 - 17:46:10 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 10
26/10/2018 - 17:46:10 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.0583, paramA=27.5858, paramVg=0.0, paramVt=1.8432, paramVi=1.8393, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:10 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 11
26/10/2018 - 17:46:10 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.1167, paramA=27.5858, paramVg=0.0, paramVt=1.8253, paramVi=1.8217, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:11 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 11
26/10/2018 - 17:46:11 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.1667, paramA=27.5858, paramVg=0.0, paramVt=1.8113, paramVi=1.808, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:11 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 12
26/10/2018 - 17:46:12 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.2083, paramA=27.5858, paramVg=0.0, paramVt=1.7992, paramVi=1.7962, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:12 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 12
26/10/2018 - 17:46:12 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.2583, paramA=27.5858, paramVg=0.0, paramVt=1.7891, paramVi=1.7863, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:13 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 13
26/10/2018 - 17:46:13 | INFO  | database.dao.imp.FlightParametersDAOImp -> create() -> Create FlightParameters{id=null, paramT=6.3083, paramA=27.5858, paramVg=0.0, paramVt=1.7765, paramVi=1.7736, paramLon=-43.218, paramLat=-22.792, paramH=254.393, paramP=3.031, paramR=0.936}
26/10/2018 - 17:46:13 | INFO  | database.dao.imp.FlightParametersDAOImp -> read() -> Read 13
